id	condition	input_sentence	masked	top_fillers	probabilities
34	animate	La abuela recibió [MASK] niños .	los	['12', 'los', 'dos', '10', 'cuatro']	[0.0654 0.0574 0.0495 0.0444 0.0377]
37	animate	El ladrón secuestró [MASK] señora .	la	['la', 'una', 'a', 'al', 'otra']	[0.7058 0.1649 0.0626 0.0116 0.0075]
38	animate	Snoopy miró [MASK] amigo .	su	['su', 'un', 'al', 'o', 'a']	[0.1303 0.1184 0.0978 0.0485 0.0339]
41	animate	Plankton conoció [MASK] Esponja .	Bob	['en', 'a', 'la', 'como', 'de']	[0.4193 0.3572 0.0762 0.0087 0.0081]
51	animate	El niño visitó [MASK] abuela .	su	['su', 'una', 'la', 'otra', 'a']	[0.4413 0.2741 0.1926 0.0075 0.0075]
54	animate	La familia acogió [MASK] inmigrante .	la	['un', 'al', 'el', 'otro', 'a']	[0.3807 0.334  0.0743 0.0323 0.0262]
56	animate	Cristina saludó [MASK] novios .	los	['los', 'a', 'sus', 'al', 'y']	[0.3755 0.1678 0.1617 0.028  0.0208]
57	animate	El bandido secuestró [MASK] mujer .	la	['una', 'la', 'otra', 'a', 'su']	[0.7514 0.1169 0.071  0.0149 0.0124]
61	inanimate	Alejandra escuchó [MASK] música .	la	['la', 'una', 'a', 'con', 'de']	[0.9342 0.0151 0.0116 0.002  0.0019]
62	inanimate	Blanca Nieves comió [MASK] manzana .	la	['la', 'una', 'a', 'el', 'en']	[0.8123 0.054  0.0372 0.0102 0.0085]
63	inanimate	El niño aprendío [MASK] matemáticas .	las	['las', 'aprender', 'les', 'sus', 'algunas']	[0.7732 0.0194 0.0172 0.0149 0.0121]
64	inanimate	Antonio bebió [MASK] refresco .	un	['de', 'el', 'un', 'del', 'al']	[0.2689 0.2116 0.1181 0.1138 0.0483]
65	inanimate	Alfonso arregló [MASK] bicicleta .	la	['la', 'una', 'en', 'de', 'su']	[0.31   0.1825 0.1472 0.1032 0.0996]
66	inanimate	Mafalda leyó [MASK] .	libro	['música', 'dir', 'it', 'p', 'R']	[0.0095 0.0088 0.0082 0.0073 0.0071]
67	inanimate	Los amigos firmaron [MASK] .	papel	['D', 'a', 'R', 'P', 'T']	[0.0275 0.0227 0.022  0.0177 0.0161]
68	inanimate	El niño tocó [MASK] planta .	la	['una', 'la', 'su', 'de', 'otra']	[0.4416 0.326  0.0302 0.0231 0.0229]
69	inanimate	El hombre llevó [MASK] .	paraguas	['a', 'tiempo', '.', 'clases', 'años']	[0.0251 0.0174 0.0124 0.0108 0.0088]
70	inanimate	La niña abrazó [MASK] .	oso	"['a', '""', '.', 'el', 'mucho']"	[0.0306 0.0173 0.0123 0.0122 0.0122]
71	inanimate	María besó [MASK] .	arbol	['##n', 'matrimonio', 'bien', '##sa', 'de']	[0.0606 0.0495 0.0334 0.0242 0.0191]
72	inanimate	Miguel vio [MASK] pelota .	la	['a', 'la', 'vio', 'una', 'na']	[0.2502 0.1756 0.1557 0.0316 0.0274]
73	inanimate	Los niños visitaron [MASK] .	museo	['Ed', 'el', 'a', 'la', 'p']	[0.0219 0.0206 0.0193 0.0162 0.0149]
74	inanimate	Jimmy Newtron conoció [MASK] Flags .	Six	['Flags', 'Six', '.', 'Two', 'Seven']	[0.3381 0.1796 0.0349 0.02   0.0123]
75	inanimate	Julián tocó [MASK] planta .	la	['la', 'una', 'na', 'a', 'de']	[0.3351 0.1017 0.0995 0.0678 0.028 ]
76	inanimate	El viejo llevó [MASK] .	paraguas	['a', '##se', '##s', 'tiempo', 'al']	[0.0483 0.0391 0.0178 0.0152 0.0128]
77	inanimate	La niña abrazó [MASK] .	osito	"['a', '""', '.', 'el', 'mucho']"	[0.0306 0.0173 0.0123 0.0122 0.0122]
78	inanimate	Beto besó [MASK] .	trofeo	['##k', '##t', '##só', '##rt', '##d']	[0.1466 0.0796 0.0785 0.0335 0.0322]
79	inanimate	Victor vio [MASK] pelota .	la	['a', 'vio', '##l', '##leta', 'na']	[0.1041 0.1019 0.0876 0.0442 0.0402]
80	inanimate	Los niños visitaron [MASK] .	museo	['Ed', 'el', 'a', 'la', 'p']	[0.0219 0.0206 0.0193 0.0162 0.0149]
83	inanimate	Alfonso arregló [MASK] bicicleta roja .	la	['una', 'la', 'su', 'con', 'en']	[0.5393 0.3053 0.0477 0.0151 0.0144]
84	inanimate	Antonio bebió [MASK] coca cola .	la	['la', 'de', 'con', 'una', 'a']	[0.4606 0.1235 0.0761 0.0743 0.0586]
85	inanimate	Estefanía compró [MASK] auto .	un	['el', 'un', 'o', 'la', 'a']	[0.3639 0.1436 0.137  0.0533 0.0235]
87	inanimate	Carlos leyó [MASK] novela .	una	['la', 'una', 'esta', 'La', 'su']	[0.896  0.0237 0.0108 0.0094 0.009 ]
88	inanimate	Los novios firmaron [MASK] .	contrato	['D', 'a', 'R', 'al', 'S']	[0.0288 0.0156 0.0113 0.009  0.009 ]
