id	condition	input_sentence	masked	top_fillers	probabilities
89	definite	Gonzalo mató [MASK] mafioso en el parque .	al	['al', 'un', 'a', 'otro', 'el']	[0.7523 0.2295 0.0054 0.0042 0.0027]
90	definite	Patricio lesionó [MASK] portero en la discoteca .	al	['al', 'un', 'a', 'el', 'su']	[0.9741 0.0144 0.0076 0.0019 0.0005]
91	definite	Carolina golpeó [MASK] futbolista en el vestuario .	al	['al', 'el', 'a', 'un', 'la']	[0.9957 0.0021 0.0009 0.0007 0.0002]
92	definite	Elena cuidó [MASK] herido durante dos semanas .	al	['al', 'del', 'el', 'de', 'a']	[0.587  0.3908 0.0175 0.0024 0.0007]
93	definite	Irene acusó [MASK] secretario general en la asamblea .	al	['al', 'el', 'a', 'de', 'del']	[0.8595 0.0285 0.0219 0.0219 0.0186]
94	definite	Cecilia denunció [MASK] ladrón en la comisaría de policía .	al	['al', 'el', 'un', 'como', 'del']	[0.8544 0.0618 0.0562 0.0109 0.0037]
95	definite	Josefina vio [MASK] cura en el parque .	al	['al', 'un', 'el', 'una', 'a']	[0.8649 0.0808 0.037  0.0032 0.0028]
96	definite	Julio oyó [MASK] basurero desde la cocina .	al	['el', 'un', 'al', 'del', 'su']	[0.3508 0.23   0.204  0.1236 0.0094]
97	indefinite	Pablo mató [MASK] un rehén durante el secuestro .	a	['a', 'también', 'accidentalmente', 'además', 'al']	[0.9967 0.0017 0.0002 0.0002 0.0001]
98	indefinite	Alberto lesionó [MASK] un defensa en el partido de la semana pasada .	a	['a', 'con', 'contra', 'por', 'gravemente']	[0.9546 0.0222 0.0077 0.0059 0.0026]
99	indefinite	Andrea golpeó [MASK] un fotógrafo a la salida del restaurante .	a	['a', 'con', 'contra', 'por', 'accidentalmente']	[0.9961 0.0019 0.0005 0.0005 0.0002]
100	indefinite	Javier cuidó [MASK] un enfermo con gran profesionalidad .	a	['a', 'de', 'siempre', 'del', 'hasta']	[0.5611 0.4357 0.0005 0.0002 0.0001]
101	indefinite	Laura acusó [MASK] un trabajador en la reunión .	a	['a', 'de', 'ser', 'con', 'como']	[0.978  0.0075 0.0026 0.0021 0.001 ]
102	indefinite	Carlos denunció [MASK] un camarero tras una disputa .	a	['a', 'ante', 'contra', 'ser', 'con']	[0.9923 0.0017 0.0011 0.001  0.0009]
103	indefinite	Ana vio [MASK] un político en la tienda del barrio .	a	['a', 'pasar', 'entrar', 'aparecer', 'llegar']	[0.9753 0.0038 0.0037 0.0028 0.0014]
104	indefinite	Esther oyó [MASK] un bebé en el apartamento de al lado .	a	['a', 'de', 'nacer', 'sobre', 'como']	[0.7166 0.1443 0.0208 0.0188 0.0152]
